timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743687531824,1067,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,5664,545,3,4,null,0,57,835
1743687531879,1067,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,5664,545,3,4,https://petstore.octoperf.com/actions/Catalog.action,1066,0,835
1743687532315,744,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,5664,545,3,4,null,0,1,560
1743687532316,744,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,5664,545,3,4,https://petstore.octoperf.com/actions/Catalog.action,743,0,560
1743687532949,214,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4081,987,3,4,null,0,8,0
1743687532956,214,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4081,987,3,4,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,214,0,0
1743687533060,181,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,3441,987,3,4,null,0,1,0
1743687533061,181,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,3441,987,3,4,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,181,0,0
1743687532366,878,NavigateWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Results - jp@gc - Ultimate Thread Group 2-30,,true,,5664,545,1,4,null,0,3,692
1743687532367,878,NavigateWebsite-25,200,,Scenario 2 - View Results - jp@gc - Ultimate Thread Group 2-30,text,true,,5664,545,1,4,https://petstore.octoperf.com/actions/Catalog.action,878,0,692
1743687532808,716,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,5664,545,4,6,null,0,1,538
1743687532809,716,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,5664,545,4,6,https://petstore.octoperf.com/actions/Catalog.action,715,0,538
1743687533525,176,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,987,4,6,null,0,0,0
1743687533525,176,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,987,4,6,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,176,0,0
1743687533171,706,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,598,5,7,null,0,2,527
1743687533173,706,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,598,5,7,https://petstore.octoperf.com/actions/Catalog.action,706,0,527
